"unique","milk.1","milk.2","milk.3","milk.4","milk.5","milk.6","milk.7","milk.8","milk.9","milk.10","dim.1","dim.2","dim.3","dim.4","dim.5","dim.6","dim.7","dim.8","dim.9","dim.10"
"K11-P12",37.5,43.8,48.7,38.3,34.3,32.4,35.6,21.8,28.2,24.1,12,42,75,101,132,158,188,216,243,277
"K103-P278",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K12-P560",27.5,20.9,19.9,17.5,NA,NA,NA,NA,NA,NA,126,200,269,346,NA,NA,NA,NA,NA,NA
"K11-P33",32,32.9,26.2,25.6,22.7,19.9,16.5,18.5,17.2,13.7,18,52,80,111,150,178,206,234,262,290
"K118-P94",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K100-P504",22.7,26,22.3,26.4,23.1,14.9,13.9,11.1,5,NA,29,56,85,120,147,178,211,239,274,NA
"K128-P270",24.4,22.3,NA,NA,NA,NA,NA,NA,NA,NA,31,87,NA,NA,NA,NA,NA,NA,NA,NA
"K12-P414",40.3,36.7,25.5,NA,NA,NA,NA,NA,NA,NA,12,86,155,NA,NA,NA,NA,NA,NA,NA
"K100-P563",13.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K102-P311",22.7,26,26.3,16.6,20.7,20.2,17.4,18.3,17.6,NA,20,47,77,110,138,167,203,230,258,NA
"K12-P556",45.7,39.7,31,17.5,NA,NA,NA,NA,NA,NA,33,107,176,253,NA,NA,NA,NA,NA,NA
"K10-P199",NA,30.6,33.6,33.6,29,20.5,15.3,NA,NA,NA,4,35,63,99,128,154,189,NA,NA,NA
"K12-P433",35.2,33.7,21.9,10.6,NA,NA,NA,NA,NA,NA,54,123,200,276,NA,NA,NA,NA,NA,NA
"K12-P277",41,30.3,22.9,NA,NA,NA,NA,NA,NA,NA,101,175,244,NA,NA,NA,NA,NA,NA,NA
"K12-P765",31.1,32.8,17.8,11.2,11.6,NA,NA,NA,NA,NA,10,87,163,199,245,NA,NA,NA,NA,NA
"K112-P307",21.6,21.6,15.6,20.2,20.5,20.5,20.2,18.8,19,NA,27,62,88,118,151,180,208,247,271,NA
"K12-P932",25.3,23.3,NA,NA,NA,NA,NA,NA,NA,NA,202,279,NA,NA,NA,NA,NA,NA,NA,NA
"K10-P81",32.4,52.7,43.9,44.3,49.1,44.7,51.6,38.2,36.7,27.5,8,40,71,99,129,162,190,225,253,282
"K130-P617",39.3,42.9,40.8,40.4,36.4,35.3,31.2,29.8,NA,NA,41,77,104,145,176,218,246,272,NA,NA
"K104-P442",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K126-P867",42.3,30.5,30.2,22.1,16.8,17.5,13.4,NA,NA,NA,30,65,93,128,156,191,221,NA,NA,NA
"K12-P918",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K117-P15",32.5,40.7,38,34,30,24,24.4,23,20,15.6,8,36,64,99,128,163,190,211,253,281
"K126-P1133",51.3,54.6,49.6,39.5,40.9,39.7,35,30.9,29.8,27.3,15,58,87,115,149,184,206,247,274,303
"K12-P733",43,35.5,30.5,28.2,25.9,22.7,20.3,NA,NA,NA,53,129,165,211,298,355,417,NA,NA,NA
"K130-P543",50.1,43.4,47.8,40,39.2,34.8,36.4,32.7,29.2,NA,22,52,101,128,170,206,233,274,305,NA
"K113-P620",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K116-P147",25.2,22.9,20.2,21.8,23.1,19.3,16.3,14.1,11.8,NA,27,47,80,117,146,171,208,242,276,NA
"K106-P283",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K130-P647",25.6,33,35.4,33.4,33.6,36.5,28.6,19,16.4,NA,26,62,101,131,180,207,249,285,312,NA
"K126-P1047",NA,34.4,33.7,29.4,34,29.2,29.8,26.4,18.6,21.6,3,32,60,95,123,158,186,221,251,284
"K111-P117",21.6,21.8,16.4,14,NA,NA,NA,NA,NA,NA,24,58,87,116,NA,NA,NA,NA,NA,NA
"K113-P577",17.8,22,25.9,28.5,26,19.3,24.6,21.2,17.9,15.6,10,38,72,101,136,163,191,228,255,284
"K1-P992",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K13-P531",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K12-P808",33.7,19,9.5,NA,NA,NA,NA,NA,NA,NA,63,221,308,NA,NA,NA,NA,NA,NA,NA
"K130-P710",29.7,35,35.1,34.9,34,29.6,34.2,30.8,29.4,NA,25,64,94,143,170,212,248,275,316,NA
"K122-P37",26.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K122-P86",31,31.8,30.2,28.4,25.6,25,24,24,21.6,18.2,30,58,86,121,148,177,212,240,275,303
"K120-P78",30.6,43,36.6,38,32.6,32.2,27.1,25.9,22,NA,42,98,133,166,195,219,266,301,336,NA
"K118-P143",33.5,31.7,29.4,30.6,28.4,27.1,28.4,26.3,25.6,23.5,11,37,71,110,145,191,222,251,282,320
"K105-P117",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K126-P802",44.3,50.6,49.2,37,32.7,30.1,25.5,17.6,12.2,NA,6,41,63,104,131,160,188,223,251,NA
"K105-P111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K130-P708",41.2,43.7,37.2,35.8,31.8,23.7,NA,NA,NA,NA,15,46,88,116,142,183,NA,NA,NA,NA
"K12-P603",26.8,30.3,23.4,22.3,22.1,15.6,11.4,NA,NA,NA,46,123,199,235,281,368,425,NA,NA,NA
"K111-P196",21.4,22,22,22.8,20.6,19.9,16.8,16.4,18,NA,16,51,73,101,143,169,197,226,255,NA
"K126-P1258",54,48.3,50.8,40.3,34,33.3,35,35.3,31.5,20.2,28,63,91,126,154,189,219,252,280,309
"K117-P77",32.6,35.3,35,38.5,32.6,32,32,16.5,26.2,22,24,52,81,109,143,171,199,234,263,298
"K126-P1060",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K130-P612",44.5,48,42.8,40.1,36.9,33.6,30.5,22.2,NA,NA,21,51,100,127,169,205,232,273,NA,NA
"K120-P5",28.2,51,31.6,45,42.2,45.6,39.4,41,31.9,43.1,17,79,122,178,213,246,275,299,346,381
"K130-P502",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K104-P360",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K12-P516",33.5,33.4,22.5,14.8,11.6,10,NA,NA,NA,NA,6,75,152,228,264,310,NA,NA,NA,NA
"K130-P705",20.4,29.9,30.3,30.4,39.8,33.8,33.7,28,25.8,NA,7,48,84,123,153,202,229,271,307,NA
"K100-P580",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K12-P435",41.7,39.4,27.8,20.5,10.8,NA,NA,NA,NA,NA,26,100,169,246,322,NA,NA,NA,NA,NA
"K128-P121",NA,32.5,26,30.5,28,24.3,20.2,15.1,20.1,14.7,23,69,86,114,135,177,203,264,295,328
"K104-P367",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K125-P112",58.3,54.8,57.2,53.2,48.2,46.2,45.4,46.9,43.3,42.6,36,66,101,128,147,192,214,248,282,311
"K112-P64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K12-P1063",32.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K129-P256",35,30,NA,NA,NA,NA,NA,NA,NA,NA,97,219,NA,NA,NA,NA,NA,NA,NA,NA
"K12-P947",29.6,30.8,22,22.3,NA,NA,NA,NA,NA,NA,126,202,238,284,NA,NA,NA,NA,NA,NA
"K122-P104",27.8,32.8,27.6,29,27,26.2,26,26,23.4,22.2,26,54,89,117,145,180,208,236,266,299
"K100-P445",37,41,40.7,50.6,17.9,25.6,18.5,16.2,11.5,16.9,9,44,71,102,135,163,198,226,254,289
"K106-P308",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K113-P584",15.8,35.1,28.1,30.9,28.3,31.1,21.6,24.7,28.1,20.3,16,50,79,114,141,169,206,233,262,324
"K119-P81",25.9,38.3,33.6,29.8,27.6,21.8,23.2,19.2,NA,NA,14,49,84,119,165,202,237,271,NA,NA
"K119-P32",38.8,33.4,34.1,27.2,31.6,24.7,NA,25,23.9,21.8,14,49,95,132,167,201,243,285,315,356
"K122-P108",29,28,23.6,22.2,21.2,21.4,22.5,21.2,22.4,19.4,37,65,93,128,156,184,219,247,275,305
"K125-P168",32.6,44.6,44.6,42,43,38,39.8,37.4,34.5,31.3,9,43,71,99,135,160,189,223,253,288
"K110-P578",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K12-P938",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K12-P794",34.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K112-P132",23.5,22.9,23.7,22.5,NA,NA,NA,NA,NA,NA,38,65,93,128,NA,NA,NA,NA,NA,NA
"K100-P640",30.1,29.4,30.4,28.5,29.9,25.2,26,25,23.5,19.5,35,62,91,126,157,182,217,245,273,308
"K101-P339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K104-P433",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K101-P391",17.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,292,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K111-P182",23.6,21.2,19.5,15.5,14.8,15.5,15,13.8,10.8,8.5,15,57,83,111,140,169,203,230,266,295
"K126-P1050",35.3,30.5,30.7,31.1,NA,NA,NA,NA,NA,NA,19,48,76,111,NA,NA,NA,NA,NA,NA
"K129-P270",33,35,NA,NA,NA,NA,NA,NA,NA,NA,41,163,NA,NA,NA,NA,NA,NA,NA,NA
"K114-P50",21.3,25.4,NA,NA,NA,NA,NA,NA,NA,NA,28,56,NA,NA,NA,NA,NA,NA,NA,NA
"K105-P148",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K111-P194",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K112-P234",34.6,31.5,27.2,27.2,21.8,22.7,17.9,16.8,16.4,7.8,22,50,85,111,141,174,203,231,270,294
"K105-P160",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K114-P48",22.1,29.6,38.4,38.8,34.3,35.5,34.3,31.1,30.5,27,13,41,69,104,125,160,195,223,251,314
"K12-P1006",22.6,28.8,22.3,20.2,NA,NA,NA,NA,NA,NA,75,152,228,264,NA,NA,NA,NA,NA,NA
"K126-P1036",34.9,48.4,51.7,50.5,39.1,51.2,43.2,40.3,37.6,NA,19,46,75,103,138,166,201,229,264,NA
"K1-P980",25,31.2,25.6,27.4,22.2,18,13.6,9,NA,NA,28,69,112,151,201,249,284,308,NA,NA
"K104-P373",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K116-P216",24.8,21.8,24.4,24.8,21,22.3,17.9,17.1,NA,NA,76,111,131,164,201,230,255,292,NA,NA
"K12-P1023",27.9,31,30,26.7,21.3,21,NA,NA,NA,NA,69,145,181,227,314,371,NA,NA,NA,NA
"K114-P29",30.1,33.5,29.9,36.1,32.5,30.3,22.5,22.5,19.7,14.6,25,52,81,116,144,179,207,235,270,291
"K11-P152",25.2,24.8,17,25,24.4,21,22.8,19.8,16.7,17.6,11,39,66,100,128,159,198,226,254,282
"K104-P377",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K100-P548",30.8,30.6,32.5,28.8,25.8,24.8,20.4,16.2,14,6.7,10,45,73,101,136,163,192,227,258,283
"K12-P780",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K100-P501",28.8,25.8,28.8,28.7,27.7,22.1,19.1,13.9,7.9,11.5,22,51,86,113,144,177,205,240,268,296
"K12-P476",48.7,32.2,27.5,NA,NA,NA,NA,NA,NA,NA,144,218,364,NA,NA,NA,NA,NA,NA,NA
"K125-P172",29.9,31.2,32.2,38.2,32.8,34.9,33.5,33.1,25.2,26,6,40,68,96,132,157,186,220,250,285
"K130-P626",46,49.6,48.7,44.4,41.6,36,31.1,24.9,NA,NA,31,58,100,136,163,204,235,277,NA,NA
"K111-P95",15.8,21,20,17.4,15.2,14.2,11.6,10.7,10.5,10,5,38,67,102,124,152,194,220,248,277
"K126-P826",41.9,47.5,56.5,44.3,44.9,37.2,NA,NA,NA,NA,32,67,95,130,158,193,NA,NA,NA,NA
"K118-P10",43.9,54.8,45.3,43.8,39,36.5,34.4,33.4,28.8,23.9,13,42,91,121,169,195,229,268,303,349
"K112-P421",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K130-P341",48.7,46.7,52.7,44.7,45.3,43.2,38.8,35.3,NA,NA,19,68,95,137,173,200,241,272,NA,NA
"K124-P407",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K122-P75",22,24,35,28.2,28.4,25.6,24,20,20,19,7,36,71,99,134,162,190,225,253,281
"K123-P363",19.8,26.6,27.2,23,20.2,16,16,NA,NA,NA,9,44,85,127,156,196,227,NA,NA,NA
"K126-P956",36.5,27.2,35.1,35.7,34.9,33.1,26.7,28.1,26.5,NA,20,40,83,112,140,174,209,231,272,NA
"K116-P26",38.2,41.9,35,30.7,29.8,26.5,24.8,20.6,20.5,13.9,19,50,93,125,153,184,220,255,275,308
"K110-P787",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K117-P72",24,27,33,29,34,29.5,33,32.4,29.5,29.6,21,55,83,111,146,175,210,237,258,300
"K113-P585",27.7,28.9,29,26.4,27.9,23.8,26,28.1,24.8,23.4,34,63,98,125,153,190,217,246,273,308
"K130-P518",53.2,55.2,12.9,NA,NA,NA,NA,NA,NA,NA,23,53,102,NA,NA,NA,NA,NA,NA,NA
"K116-P133",27.5,25.6,28.4,26.5,26.4,24.4,23.3,22.7,22.7,21.9,14,45,81,116,136,169,206,235,260,297
"K12-P270",49.1,43.1,31.6,21.1,NA,NA,NA,NA,NA,NA,57,131,200,277,NA,NA,NA,NA,NA,NA
"K13-P440",35.6,33.9,38.9,38.8,30.9,34.3,32.9,24.6,NA,NA,27,62,100,127,175,210,253,285,NA,NA
"K104-P330",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K110-P661",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K100-P462",11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K126-P981",43.2,38.6,35.9,32.8,33.5,35.3,34.6,23.1,NA,NA,35,70,92,133,160,189,217,252,NA,NA
"K118-P159",27.6,25.2,23.7,27.9,27.6,23.9,25.6,23.1,22.5,17.1,27,53,87,126,161,207,238,267,298,336
"K126-P1257",40.9,55.1,52.3,43.1,54.2,40.1,39.5,38.9,35.3,34.4,21,50,78,113,141,176,204,239,269,302
"K130-P644",27,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K12-P367",43.6,41.7,32.1,NA,NA,NA,NA,NA,NA,NA,51,125,194,NA,NA,NA,NA,NA,NA,NA
"K13-P510",22.8,34.2,32,30.2,27.8,27.7,26.7,25.2,22.7,NA,6,48,84,124,159,194,232,259,307,NA
"K11-P106",35.8,34.4,28.4,25.4,30,20.8,20,21.1,21,17.8,34,60,90,118,145,179,207,238,277,305
"K103-P193",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K100-P597",24.6,30.6,26.5,18.1,16.4,12.4,9.7,15.7,8.5,9,14,41,72,105,133,168,196,224,259,286
"K104-P260",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K115-P46",34.2,39,38.8,40.4,38.2,33,30.6,26.2,27,25,8,31,59,94,122,150,185,213,240,268
"K128-P143",31.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K126-P1265",46.5,45.5,45.8,42,39.4,40.7,43.2,39.7,22.5,23,36,71,93,134,161,190,218,253,281,316
"K100-P554",41.4,47.4,44.1,33.6,29.2,23.5,20.9,19.1,16.5,10.7,20,47,78,111,139,174,202,230,265,292
"K123-P308",43.6,44.2,41.2,33.4,21.4,16.2,11.6,8.2,NA,NA,11,53,88,123,164,206,235,275,NA,NA
"K10-P160",NA,46.9,42.4,42.8,43.9,30.6,27.5,25.7,27.2,23.7,2,28,63,91,119,151,182,210,240,273
"K117-P67",32,44.4,39,32.4,32,33,31.6,28,23,25.9,12,47,76,111,138,159,201,229,257,292
"K118-P111",39.4,37,42.2,41.8,39.3,35.4,33.1,31,NA,NA,36,66,114,140,174,213,248,294,NA,NA
"K125-P71",45.5,55.2,54.8,49.6,48.2,44,42.6,43.3,29.2,25.5,9,39,74,101,120,165,187,221,255,284
"K116-P83",34.7,39.9,37,41.2,38.2,28.8,32.7,30.2,22.7,18.3,8,43,63,96,133,162,187,224,258,292
"K123-P339",23,22.4,23.6,21,20.2,19.2,19.6,16.6,17.2,16,32,67,108,150,179,219,250,291,325,368
"K1-P915",41.6,35.8,32.8,27.6,27,24.6,20.6,20,14.8,14.2,46,94,129,153,179,221,249,279,311,341
"K12-P802",32.1,27.5,24.9,20.8,NA,NA,NA,NA,NA,NA,166,240,309,386,NA,NA,NA,NA,NA,NA
"K118-P130",57.7,47.3,41.8,38.2,37,31.5,37.4,33.1,29.5,NA,42,77,123,154,183,214,252,297,319,NA
"K100-P458",43.5,44.7,46,47.3,41.4,43.2,37.6,31.7,42.4,29.8,30,58,86,121,148,177,212,243,268,303
"K13-P488",39.4,41,36.9,30.7,34.1,33.2,23.8,13.4,NA,NA,40,75,118,150,189,228,264,299,NA,NA
"K130-P683",41.5,41.4,40,43.6,42,38.8,37.6,35.6,NA,NA,36,63,105,141,168,209,240,282,NA,NA
"K118-P108",35.5,36.5,34.4,34.9,36.6,34.6,30.5,NA,NA,NA,18,60,95,124,173,203,277,NA,NA,NA
"K118-P116",36.6,29.2,31.7,39.8,31.5,36.2,35.1,31.8,NA,NA,31,57,91,130,165,211,242,271,NA,NA
"K128-P105",45.6,37.4,26.4,28,29.6,20.9,25.2,9.6,NA,NA,34,101,132,158,188,223,269,286,NA,NA
"K117-P53",43,47.5,44.8,47,42,41,34,32.5,NA,22.4,16,43,64,106,134,162,197,226,254,289
"K121-P122",54.4,52,49.7,45.6,43.9,37.6,38.7,33.4,34.6,32.9,38,62,93,116,160,191,223,252,283,312
"K13-P439",22.6,23.7,47.1,42.7,39.4,38.6,27.8,26.4,25.2,23.6,2,29,155,187,226,265,301,336,365,394
"K12-P322",37,35.2,30,24,23.3,21.2,19.3,NA,NA,NA,30,104,173,250,326,362,408,NA,NA,NA
"K126-P639",31.5,49.1,49.7,47,35.9,35.3,34.8,32.8,16.4,20.5,12,32,75,104,132,166,201,223,264,291
"K1-P1083",34.4,25,26.6,26,26,24.6,25.6,22.8,24.8,22,42,90,125,149,175,217,245,275,307,337
"K113-P407",36.5,32.8,41.7,29.8,31.6,28.1,31.4,25.9,25.6,22.5,28,57,92,119,147,184,211,240,267,302
"K126-P1003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K1-P700",48.4,50.2,42.2,42.4,34.8,35.4,28,32.6,37,24.8,20,55,79,105,147,175,205,237,267,301
